Country,Net migration,"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","Population age distribution (0-14   60+ years, %)",Health: Physicians (per 1000 pop.),Mobile-cellular subscriptions (per 100 inhabitants),activeondateimp,Sevendaypred,twelvedaypred,thirtydaypred,Weekend,Weekday,CATEGORY
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,3
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,566,1550.0,2336.0,4837.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,1624,2801.0,3648.0,5218.0,0,1,3
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,1624,2801.0,3648.0,5218.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,1306,2506.0,3376.0,5135.0,1,0,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,1306,2506.0,3376.0,5135.0,1,0,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,1306,2506.0,3376.0,5135.0,1,0,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,99,425.0,1077.0,3931.0,1,0,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,149,940.0,1714.0,4282.0,0,1,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,149,940.0,1714.0,4282.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,566,1550.0,2336.0,4837.0,0,1,1
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,428,1382.0,2262.0,4516.0,1,0,2
Malaysia,-0.3,96.3,106.7,2.505154639,1.3,143.9,790,1811.0,2670.0,4925.0,0,1,2
Mexico,-4.87,66.4,99.2,2.6435643559999997,2.1,85.3,316,986.0,1645.0,3852.0,0,1,1
Mexico,-4.87,66.4,99.2,2.6435643559999997,2.1,85.3,316,986.0,1645.0,3852.0,0,1,1
Mexico,-4.87,66.4,99.2,2.6435643559999997,2.1,85.3,164,589.0,1180.0,3392.0,0,1,1
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,17,105.0,288.0,1578.0,1,0,2
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,28,121.0,348.0,1604.0,1,0,2
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,28,121.0,348.0,1604.0,1,0,1
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,28,121.0,348.0,1604.0,1,0,2
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,29,145.0,411.0,1694.0,0,1,1
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,29,145.0,411.0,1694.0,0,1,1
Morocco,-0.98,80.1,98.1,2.560747664,0.6,126.9,7,87.0,225.0,1544.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,128,742.0,2063.0,17029.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,503,2462.0,5442.0,21162.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,1416,4699.0,9690.0,24980.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,1138,4239.0,8531.0,24178.0,1,0,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,1138,4239.0,8531.0,24178.0,1,0,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,1416,4699.0,9690.0,24980.0,0,1,2
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,2
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,4764,11490.0,16001.0,30837.0,0,1,1
Netherlands,2.91,505.2,99.0,0.6559999999999999,3.4,123.5,5580,12199.0,17029.0,31394.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,6,59.0,299.0,1456.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,5,44.0,228.0,1427.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,39,388.0,700.0,1701.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,12,148.0,525.0,1633.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,28,299.0,652.0,1701.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,28,299.0,652.0,1701.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,6,59.0,299.0,1456.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,20,228.0,581.0,1667.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,28,299.0,652.0,1701.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,39,388.0,700.0,1701.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,525.0,866.0,1895.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,525.0,866.0,1895.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,52,469.0,784.0,1715.0,1,0,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,3
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,205,700.0,1078.0,1950.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,205,700.0,1078.0,1950.0,0,1,1
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,205,700.0,1078.0,1950.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,205,700.0,1078.0,1950.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,5,33.0,148.0,1290.0,0,1,2
New Zealand,4.05,17.9,96.7,0.9519230769,2.9,121.8,102,581.0,924.0,1950.0,0,1,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1221,2431.0,3834.0,6460.0,1,0,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1221,2431.0,3834.0,6460.0,1,0,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,996,2007.0,3142.0,6422.0,0,1,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,702,1773.0,2918.0,6422.0,0,1,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,702,1773.0,2918.0,6422.0,0,1,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1090,2163.0,3422.0,6460.0,1,0,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1090,2163.0,3422.0,6460.0,1,0,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1463,2918.0,4330.0,7021.0,0,1,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1463,2918.0,4330.0,7021.0,0,1,1
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1333,2706.0,4160.0,6732.0,0,1,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1914,3834.0,4899.0,7351.0,0,1,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,2118,4160.0,5198.0,7282.0,1,0,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,2385,4330.0,5439.0,7568.0,1,0,2
Norway,1.74,14.5,101.8,0.798206278,4.4,113.6,1746,3422.0,4653.0,7012.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,2,5.0,23.0,1618.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,2,5.0,23.0,1618.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,28,588.0,1118.0,4410.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,0,2.0,4.0,732.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,0,4.0,6.0,1118.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,0,4.0,6.0,1118.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,6,25.0,346.0,3127.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,236,1008.0,1618.0,4805.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,454,1238.0,1964.0,4914.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,454,1238.0,1964.0,4914.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,454,1238.0,1964.0,4914.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,454,1238.0,1964.0,4914.0,0,1,1
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,501,1426.0,2206.0,4914.0,0,1,2
Pakistan,-2.77,255.6,105.6,5.194029851,0.8,66.9,0,0.0,0.0,25.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,27,148.0,406.0,2639.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,27,148.0,406.0,2639.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,27,148.0,406.0,2639.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,27,148.0,406.0,2639.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,313,894.0,1454.0,3517.0,1,0,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,27,148.0,406.0,2639.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,55,386.0,790.0,3210.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,86,406.0,976.0,3409.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,0,0.0,0.0,0.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,313,894.0,1454.0,3517.0,1,0,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,109,591.0,1142.0,3409.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,0,0.0,0.0,0.0,1,0,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,137,701.0,1221.0,3409.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,69,345.0,894.0,3321.0,0,1,1
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,69,345.0,894.0,3321.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,69,345.0,894.0,3321.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,345,1142.0,1776.0,3517.0,0,1,2
Panama,-0.91,55.1,100.4,2.403508772,1.6,174.2,345,1142.0,1776.0,3517.0,0,1,1
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,11,157.0,405.0,3163.0,0,1,1
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,145,465.0,990.0,4404.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,3
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,86,405.0,650.0,4289.0,0,1,2
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,11,157.0,405.0,3163.0,0,1,1
Peru,-1.05,25.1,99.8,2.634615385,1.1,109.9,15,237.0,404.0,3573.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,33,183.0,419.0,4689.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,140,419.0,826.0,6048.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,187,576.0,1537.0,6287.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,217,736.0,2042.0,6958.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,3,43.0,181.0,2688.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,2,5.0,3.0,4.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,0,0.0,1.0,3.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,1,4.0,3.0,4.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,49,232.0,488.0,4598.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,49,232.0,488.0,4598.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,707,2688.0,4007.0,8762.0,0,1,3
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,111,313.0,736.0,5461.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,2,3.0,3.0,8.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,552,2042.0,3245.0,7804.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,187,576.0,1537.0,6287.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,142,488.0,1103.0,5998.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,49,232.0,488.0,4598.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,0,0.0,2.0,3.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,1,4.0,3.0,4.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,2,3.0,3.0,8.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,1,3.0,3.0,4.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,552,2042.0,3245.0,7804.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,462,1699.0,3308.0,7804.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,380,1537.0,3111.0,8028.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,380,1537.0,3111.0,8028.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,307,1103.0,2688.0,7621.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,142,488.0,1103.0,5998.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,142,488.0,1103.0,5998.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,187,576.0,1537.0,6287.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,380,1537.0,3111.0,8028.0,1,0,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,636,2563.0,3696.0,8299.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,64,238.0,666.0,5347.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,20,166.0,313.0,4165.0,0,1,2
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,33,183.0,419.0,4689.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,49,232.0,488.0,4598.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,52,227.0,576.0,4885.0,0,1,1
Philippines,-1.5,351.9,101.3,4.171052632,1.275,118.1,187,576.0,1537.0,6287.0,0,1,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,68,461.0,1062.0,6279.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,68,461.0,1062.0,6279.0,0,1,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,49,335.0,898.0,6199.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,49,335.0,898.0,6199.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,119,647.0,1382.0,6521.0,1,0,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,901,2245.0,3903.0,8699.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,901,2245.0,3903.0,8699.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,119,647.0,1382.0,6521.0,1,0,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,103,541.0,1219.0,6389.0,1,0,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,68,461.0,1062.0,6279.0,0,1,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,22,261.0,647.0,5157.0,0,1,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,16,178.0,541.0,4983.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,0,0.0,10.0,1219.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,0,0.0,0.0,0.0,0,1,1
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,251,1062.0,2030.0,6999.0,0,1,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,119,647.0,1382.0,6521.0,1,0,2
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,901,2245.0,3903.0,8699.0,0,1,3
Poland,-0.49,124.6,93.4,0.6166666667,2.3,148.7,1051,2520.0,4359.0,9355.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,41,464.0,1593.0,12355.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,41,464.0,1593.0,12355.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,331,2081.0,5172.0,16110.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,331,2081.0,5172.0,16110.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,331,2081.0,5172.0,16110.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,331,2081.0,5172.0,16110.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,331,2081.0,5172.0,16110.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,245,1593.0,4262.0,16110.0,1,0,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,245,1593.0,4262.0,16110.0,1,0,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,59,718.0,2449.0,14433.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,59,718.0,2449.0,14433.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,112,1159.0,2922.0,15139.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1600,6032.0,9604.0,18276.0,1,0,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1020,4262.0,8315.0,18276.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1280,5172.0,8887.0,18276.0,1,0,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1020,4262.0,8315.0,18276.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1020,4262.0,8315.0,18276.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1020,4262.0,8315.0,18276.0,0,1,1
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1020,4262.0,8315.0,18276.0,0,1,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,1280,5172.0,8887.0,18276.0,1,0,2
Portugal,3.57,112.8,89.8,0.4874551971,4.4,110.4,2060,6366.0,10287.0,19820.0,0,1,1
